,DGS10,T5YIE,SP500,DCOILWTICO,DEXUSEU,msft_open,msft_high,msft_low,msft_close,msft_volume,msft_dividends,msft_stock_splits,forecasting,cycling,cpu,microsoft,largest_magnitude_earthquake,count_large_earthquakes
2021-04-20 00:00:00,1.5883854166666667,2.5586868065299124,4158.736444750484,59.70000000000001,1.19798125,260.1681159451741,265.1581806442603,261.5077298582967,263.251195081075,27748116.962177977,0.0,0.0,0.0,3.0,4.0,26.0,5.266666666666667,4.0
2021-04-21 00:00:00,1.5867708333333332,2.557373613059825,4156.859719430854,59.70000000000001,1.1979625,260.3655262560259,265.15572051063725,261.60526972350095,263.25857588450117,27748116.962177977,0.0,0.0,0.0,3.0,4.0,26.0,5.266666666666667,4.0
2021-04-22 00:00:00,1.5851562499999998,2.556060419589737,4154.721972600945,59.70000000000001,1.19794375,260.35160945689034,265.2890537197413,261.3475507603451,263.34270534515383,27748116.962177977,0.0,0.0,0.0,3.0,4.0,26.0,5.266666666666667,4.0
2021-04-23 00:00:00,1.5835416666666664,2.5547472261196496,4151.693504185209,59.70000000000001,1.1979250000000001,260.448830771533,265.24673896681804,261.3398294048042,263.16059233347573,27748116.962177977,0.0,0.0,0.0,3.0,4.0,26.0,5.266666666666667,4.0
2021-04-24 00:00:00,1.581927083333333,2.553434032649562,4148.191457153342,59.70000000000001,1.1979062500000002,260.3925866450903,265.25938002566676,261.33975894401254,263.1905823389689,27748116.962177977,0.0,0.0,0.0,3.0,4.0,26.0,5.266666666666667,4.0
2021-04-25 00:00:00,1.5803124999999996,2.5521208391794743,4146.698972109284,59.70000000000001,1.1978875000000002,260.24573369574375,265.236328207371,261.4351594226286,263.220572344462,27748116.962177977,0.0,0.0,0.0,3.0,4.0,26.0,5.266666666666667,4.0
2021-04-26 00:00:00,1.5786979166666661,2.5508076457093867,4144.653199055489,59.70000000000001,1.1978687500000003,260.39118214313265,265.23714909772775,261.5890666958964,263.3505623499552,27748116.962177977,0.0,0.0,0.0,3.0,4.0,26.0,5.266666666666667,4.0
2021-04-27 00:00:00,1.5770833333333327,2.549494452239299,4145.57783882083,59.70000000000001,1.1978500000000003,260.4379475483687,265.35319392346156,261.552635808533,263.3682827631633,27748116.962177977,0.0,0.0,0.0,3.0,4.0,26.0,5.266666666666667,4.0
2021-04-28 00:00:00,1.5754687499999993,2.5481812587692114,4147.096253611072,59.70000000000001,1.1978312500000003,260.62832408469137,265.353191341008,261.6437148848641,263.44734388987223,27748116.962177977,0.0,0.0,0.0,3.0,4.0,26.0,5.266666666666667,4.0
2021-04-29 00:00:00,1.5738541666666659,2.546868065299124,4148.370168909794,59.70000000000001,1.1978125000000004,260.6744790772052,265.36553418262787,261.71137551113594,263.41030063629154,27748116.962177977,0.0,0.0,0.0,3.0,4.0,26.0,5.266666666666667,4.0
2021-04-30 00:00:00,1.5722395833333325,2.545554871829036,4149.573674778976,59.70000000000001,1.1977937500000004,260.83052815831246,265.24471835161944,261.57595332648197,263.2479581832886,27748116.962177977,0.0,0.0,0.0,3.0,4.0,26.0,5.266666666666667,4.0
2021-05-01 00:00:00,1.570624999999999,2.5442416783589485,4150.0100770346,59.70000000000001,1.1977750000000005,260.8642277182865,265.1869750997798,261.5583758365503,263.3154929055108,27748116.962177977,0.0,0.0,0.0,3.0,4.0,26.0,5.266666666666667,4.0
2021-05-02 00:00:00,1.5690104166666656,2.542928484888861,4146.264014849661,59.70000000000001,1.1977562500000005,260.7761279479379,265.2845355750795,261.582964193544,263.34969429439974,27748116.962177977,0.0,0.0,0.0,3.0,4.0,26.0,5.266666666666667,4.0
2021-05-03 00:00:00,1.5673958333333322,2.5416152914187733,4141.200565834484,59.70000000000001,1.1977375000000006,260.7734882387911,265.3196044258578,261.60809383897936,263.3838956832886,27748116.962177977,0.0,0.0,0.0,3.0,4.0,26.0,5.266666666666667,4.0
2021-05-04 00:00:00,1.5657812499999988,2.5403020979486857,4140.102628169072,59.70000000000001,1.1977187500000006,260.7417657749051,265.34173342013554,261.6084095870251,263.3623329798381,27748116.962177977,0.0,0.0,0.0,3.0,4.0,26.0,5.266666666666667,4.0
2021-05-05 00:00:00,1.5641666666666654,2.538988904478598,4141.321856994773,59.70000000000001,1.1977000000000007,260.7563759010486,265.21276620483644,261.4516888346191,263.23489170074464,27748116.962177977,0.0,0.0,0.0,3.0,4.0,26.0,5.266666666666667,4.0
2021-05-06 00:00:00,1.562552083333332,2.5376757110085104,4143.4305331783635,59.70000000000001,1.1976812500000007,260.81548226190466,265.19670604089345,261.42522256315306,263.2094341913859,27748116.962177977,0.0,0.0,0.0,3.0,4.0,26.0,5.266666666666667,4.0
2021-05-07 00:00:00,1.5609374999999985,2.536362517538423,4143.022485565722,59.70000000000001,1.1976625000000007,260.7916207796608,265.29724839000124,261.45698059586977,263.33223056793213,27748116.962177977,0.0,0.0,0.0,3.0,4.0,26.0,5.266666666666667,4.0
2021-05-08 00:00:00,1.5593229166666651,2.535049324068335,4144.919826727565,59.70000000000001,1.1976437500000008,260.72343570288945,265.27520665162996,261.56246228029926,263.4144232643975,27748116.962177977,0.0,0.0,0.0,3.0,4.0,26.0,5.266666666666667,4.0
2021-05-09 00:00:00,1.5577083333333317,2.5337361305982475,4147.122118814498,59.70000000000001,1.1976250000000008,260.7014712220328,265.3198315799252,261.56794396472867,263.36328262752954,27748116.962177977,0.0,0.0,0.0,3.0,4.0,26.0,5.266666666666667,4.0
2021-05-10 00:00:00,1.5560937499999983,2.53242293712816,4150.125737341931,59.70000000000001,1.1976062500000009,260.74671277864144,265.19778984155386,261.5400923158248,263.345475323995,27748116.962177977,0.0,0.0,0.0,3.0,4.0,26.0,5.266666666666667,4.0
