Model,TransformationRuntime,FitRuntime,PredictRuntime,TotalRuntime
AverageValueNaive,0.037999884615384616,0.0005000192307692309,0.003634403846153849,0.0421343076923077
DatepartRegression,0.04023326666666668,0.0,0.10244993333333331,0.14268319999999998
ETS,0.028399828571428577,5.711428571428571e-05,0.15597137142857145,0.1844283142857143
FBProphet,0.0,0.0,0.0,0.0
GLM,0.035635121621621614,8.110810810810811e-05,0.2930130540540541,0.3287292837837838
GLS,0.04868002,0.0006400000000000003,0.08007992000000001,0.12939994000000005
GluonTS,0.03540245454545455,58.110618,0.2595972857142857,58.40561774025975
LastValueNaive,0.05586515384615386,0.0010191153846153852,0.003961500000000002,0.0608457692307692
RollingRegression,0.03353594202898553,2.5272610869565213,6.451100710144927,9.011897739130434
SeasonalNaive,0.055761583333333344,0.0011071428571428578,0.07497615476190479,0.13184488095238103
UnobservedComponents,0.07150809836065578,0.005262295081967214,1.7757458688524588,1.852516262295082
VAR,0.02520285507246376,0.0020000144927536235,0.08181144927536232,0.10901431884057973
VECM,0.04254445569620254,0.00017722784810126585,0.02783527848101265,0.07055696202531649
WindowRegression,0.02367495,4.180949725000001,0.018625075,4.22324975
ZeroesNaive,0.05926836585365854,0.0001951219512195122,0.0005121951219512196,0.05997568292682927
